MODEL, CONNECTOR, FORM, MATCH, SCANNED, SIZE, MAKER
00HW020, CUSTOM, CUSTOM, false, true, , Lenovo
00HW021, CUSTOM, CUSTOM, false, true, , Lenovo
00HW022, CUSTOM, CUSTOM, false, true, , Lenovo
00HW023, CUSTOM, CUSTOM, false, true, , Lenovo
00HW024, CUSTOM, CUSTOM, false, true, , Lenovo
00HW025, CUSTOM, CUSTOM, false, true, , Lenovo
00HW026，00HW027, UNKNOWN, UNKNOWN, false, true, , Lenovo
00HW027, CUSTOM, CUSTOM, false, true, , Lenovo
00HW028, CUSTOM, CUSTOM, false, false, , 
00HW029, CUSTOM, CUSTOM, false, false, , 
00HW030, CUSTOM, CUSTOM, false, true, , Lenovo
00HW031, UNKNOWN, UNKNOWN, false, true, , Nec
00HW033, CUSTOM, CUSTOM, false, true, , Lenovo
00HW035, UNKNOWN, UNKNOWN, false, true, , Nec
00HW040, PIN_9, CUSTOM, false, false, , 
00HW041, PIN_9, CUSTOM, false, false, , 
00HW042, PIN_8, FAT, false, true, , Lenovo
00HW043, PIN_8, FAT, false, true, , Lenovo
00HW044, PIN_8, FAT, false, false, , 
00HW045, CUSTOM, RECTANGLE, false, true, , Lenovo
00HW047, UNKNOWN, UNKNOWN, false, true, , Lenovo
00JWGP, CUSTOM, CUSTOM, false, false, , 
00NY486, CUSTOM, CUSTOM, false, false, , 
00NY487, UNKNOWN, UNKNOWN, false, true, , Nec
00NY490, UNKNOWN, UNKNOWN, false, false, , 
00NY492, UNKNOWN, UNKNOWN, false, false, , 
00PD19, CUSTOM, CUSTOM, false, false, , 
00UR890, UNKNOWN, UNKNOWN, false, false, , 
00UR891, CUSTOM, CUSTOM, false, true, , Lenovo
00WGKH, CUSTOM, CUSTOM, false, true, , Dell
00Y4643, UNKNOWN, UNKNOWN, false, true, , Ibm
010863, UNKNOWN, RECTANGLE, false, true, 73.0 x 21.0 x 5.0, Hp
016476433753, CUSTOM, CUSTOM, false, true, , Microsoft
016DPH, CUSTOM, CUSTOM, false, true, , Dell
01AV400, UNKNOWN, UNKNOWN, false, false, , 
01AV401, CUSTOM, CUSTOM, false, true, , Lenovo
01AV405, CUSTOM, CUSTOM, false, true, , Lenovo
01AV406, CUSTOM, CUSTOM, false, true, , Lenovo
01AV407, CUSTOM, CUSTOM, false, true, , Lenovo
01AV409, CUSTOM, CUSTOM, false, true, , Lenovo
01AV412, CUSTOM, CUSTOM, false, true, , Lenovo
01AV414, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV417, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV419, CUSTOM, CUSTOM, false, true, , Lenovo
01AV420, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV421, UNKNOWN, UNKNOWN, false, false, , 
01AV423, UNKNOWN, UNKNOWN, false, false, , 
01AV425, CUSTOM, CUSTOM, false, true, , Lenovo
01AV427, CUSTOM, CUSTOM, false, true, , Lenovo
01AV429, CUSTOM, CUSTOM, false, true, , Lenovo
01AV430, CUSTOM, CUSTOM, false, false, , 
01AV431, CUSTOM, CUSTOM, false, true, , Lenovo
01AV432, CUSTOM, CUSTOM, false, true, , Lenovo
01AV433, CUSTOM, CUSTOM, false, true, , Lenovo
01AV434, CUSTOM, CUSTOM, false, true, , Lenovo
01AV436, CUSTOM, CUSTOM, false, true, , Lenovo
01AV441, CUSTOM, CUSTOM, false, true, , Lenovo
01AV442, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV445, UNKNOWN, RECTANGLE, false, false, , 
01AV446, PIN_12, RECTANGLE, false, true, , Lenovo
01AV447, PIN_12, RECTANGLE, false, true, , Lenovo
01AV448, CUSTOM, CUSTOM, false, true, , Lenovo
01AV454, CUSTOM, RECTANGLE, false, true, , Lenovo
01AV459, PIN_5, CUSTOM, false, true, , Lenovo
01AV460, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV464, CUSTOM, CUSTOM, false, true, , Lenovo
01AV466, UNKNOWN, UNKNOWN, false, false, , 
01AV467, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV468, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV469, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV474, CUSTOM, CUSTOM, false, false, , 
01AV479, CUSTOM, CUSTOM, false, true, , Lenovo
01AV480, CUSTOM, CUSTOM, false, true, , Lenovo
01AV481, CUSTOM, CUSTOM, false, true, , Lenovo
01AV482, CUSTOM, CUSTOM, false, false, , 
01AV486, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV487, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV489, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AV492, CUSTOM, CUSTOM, false, false, , 
01AV495, UNKNOWN, UNKNOWN, false, true, , Lenovo
01AY968, UNKNOWN, UNKNOWN, false, false, , 
01AY969, UNKNOWN, UNKNOWN, false, true, , Lenovo
01D82, UNKNOWN, UNKNOWN, false, false, , 
01J433, UNKNOWN, UNKNOWN, false, true, , Dell
01PN0F, CUSTOM, CUSTOM, false, true, , Dell
01RR3, UNKNOWN, UNKNOWN, false, true, , Dell
01VX1H, CUSTOM, CUSTOM, false, true, , Dell
01X284, CUSTOM, CUSTOM, false, true, , Dell
020, PIN_11, CUSTOM, false, false, , 
020_00009, UNKNOWN, UNKNOWN, false, true, , Apple
020_00079, UNKNOWN, UNKNOWN, false, true, , Apple
020_01728, UNKNOWN, UNKNOWN, false, true, , Apple
020_02497, UNKNOWN, UNKNOWN, false, true, , Apple
020_5071_B, UNKNOWN, UNKNOWN, false, true, , Apple
020_6350_A, UNKNOWN, UNKNOWN, false, false, , 
020_6380_A, PIN_11, CUSTOM, false, false, , 
020_6547_A, UNKNOWN, UNKNOWN, false, true, , Apple
020_6582_A, UNKNOWN, UNKNOWN, false, true, , Apple
020_6920, PIN_11, CUSTOM, false, false, , 
020_6920_01, PIN_11, CUSTOM, false, true, , Apple
020_6955_A, UNKNOWN, UNKNOWN, false, true, , Apple
020_7134_01, PIN_11, CUSTOM, false, false, , 
020_7149_A, UNKNOWN, UNKNOWN, false, true, , Apple
020_7379_A, UNKNOWN, UNKNOWN, false, true, , Apple
020_7469_A, UNKNOWN, UNKNOWN, false, true, , Apple
020_7851_A, PIN_11, CUSTOM, false, true, , Apple
020_8146, UNKNOWN, UNKNOWN, false, true, , Apple
0231A440, UNKNOWN, UNKNOWN, false, false, , 
023_B0000, PIN_7, CUSTOM, false, false, , 
023_B0000_0041, UNKNOWN, UNKNOWN, false, true, , Medion
023_B0035, UNKNOWN, UNKNOWN, false, false, , 
023_B0035_0001, UNKNOWN, UNKNOWN, false, true, , Msi
0271J9, UNKNOWN, UNKNOWN, false, false, , 
0299_MP1006J443, CUSTOM, CUSTOM, false, true, , Msi
02DL004, CUSTOM, CUSTOM, false, true, , Lenovo
02DL013, UNKNOWN, UNKNOWN, false, true, , Lenovo
02DL018, UNKNOWN, UNKNOWN, false, true, , Lenovo
02DL020, UNKNOWN, UNKNOWN, false, true, , Lenovo
02DL026, UNKNOWN, UNKNOWN, false, true, , Lenovo
02DL027, PIN_8, RECTANGLE, false, true, , Lenovo
02DL028, UNKNOWN, UNKNOWN, false, true, , Lenovo
02F3W1, CUSTOM, CUSTOM, false, true, , Dell
02F8K3, CUSTOM, CUSTOM, false, false, , 
02HM886, UNKNOWN, UNKNOWN, false, true, , Lenovo
02K0CK, UNKNOWN, UNKNOWN, false, true, , Dell
02K6626, UNKNOWN, UNKNOWN, false, true, , Ibm
02K6822, UNKNOWN, UNKNOWN, false, true, , Ibm
02K7025, UNKNOWN, UNKNOWN, false, true, , Ibm
02K7052, UNKNOWN, UNKNOWN, false, true, , Ibm
02K7073, UNKNOWN, UNKNOWN, false, true, , Ibm
02MTH3, UNKNOWN, RECTANGLE, false, true, , Dell
02P9KD, UNKNOWN, UNKNOWN, false, true, , Dell
02T6K2, UNKNOWN, UNKNOWN, false, true, , Dell
030_02_0013_A00, UNKNOWN, UNKNOWN, false, true, , Gateway
039DY5, CUSTOM, CUSTOM, false, false, , 
03NPC0, CUSTOM, CUSTOM, false, false, , 
03NVTG, CUSTOM, FAT, false, true, , Dell
03X021, UNKNOWN, UNKNOWN, false, true, , Dell
0449TX, UNKNOWN, RECTANGLE, false, true, , Dell
045HHN, UNKNOWN, UNKNOWN, false, true, , Dell
0467100, UNKNOWN, UNKNOWN, false, true, , Teclast
0483T, UNKNOWN, UNKNOWN, false, true, , Dell
0489XN, CUSTOM, CUSTOM, false, false, , 
049H0, UNKNOWN, UNKNOWN, false, true, , Dell
04D3C, CUSTOM, CUSTOM, false, true, , Dell
04GHF, UNKNOWN, RECTANGLE, false, false, , 
04K8YH, CUSTOM, CUSTOM, false, false, , 
04RRR3, UNKNOWN, UNKNOWN, false, true, , Dell
04RXFK, UNKNOWN, UNKNOWN, false, false, , 
04W1890, CUSTOM, CUSTOM, false, false, , 
04XKN5, CUSTOM, FAT, false, false, , 
04YRJH, CUSTOM, CUSTOM, false, true, , Dell
05041C, UNKNOWN, RECTANGLE, false, false, , 
05044_221, UNKNOWN, UNKNOWN, false, false, , 
05046J, CUSTOM, CUSTOM, false, false, , 
0506, UNKNOWN, UNKNOWN, false, true, , Simplo
050TKN, CUSTOM, CUSTOM, false, false, , 
051KD7, UNKNOWN, UNKNOWN, false, false, , 
